,returns,variance_of_returns
BTC-USD,0.54744820337056,13.850415612147273
ETH-USD,1.2165706022081888,18.438753599809264
USDT-USD,0.0019012304509704963,1.1962867986594834
BNB-USD,1.541341232337869,20.80921293882241
XRP-USD,0.9045520467782077,23.159545581920565
USDC-USD,0.0006197630535046406,1.2009590211156063
DOGE-USD,2.9481736272236105,49.355332884954464
ADA-USD,1.2947771779217159,21.482203868486476
TRX-USD,0.9835738395920176,19.22889010101585
DAI-USD,0.00960000640371994,2.6657119508151728
MATIC-USD,2.43954145844527,29.398898619221296
LTC-USD,0.6922522669577494,19.268124702565032
WBTC-USD,0.5491697798484342,13.928888303691108
BCH-USD,0.3490083010472893,20.85935257588191
XLM-USD,0.771907344525517,21.9261186085785
LINK-USD,1.150416684457423,23.5270253307586
